"id","Y","AlsK","AlsI","AlsE","AlsA","AlsB","AlsC","AlsGa","AlsGb","AlsGc","AlsG2a","AlsG2b","AlsG2c","AlsT","AlsR","AlsR2","AlsR3"
"216816.180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205913.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1322347.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"548480.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1161745.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1161744.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"890402.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"469594.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1682.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1205679.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1679.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28026.188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28026.102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1454376.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"547043.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6666666.205261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28026.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28026.137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1150461.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216816.113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"566552.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1254439.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"864564.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"641146.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321955.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1229781.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1176165.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1033736.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1095767.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1710.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"935839.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1973217.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1095772.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1064537.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1203568.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"188626.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"478801.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2035.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2615184.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1122237.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33918.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1151126.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2033.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218496.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
